id,value,feed_id,created_at,lat,lon,ele
0EADW2MQZ9895G7P4AH8NRKVR9,"35.2,32.5,32.6,33.2,32.6,33.5,56.2,,40.1,,35.4, , 36.0,62.0,995.2,494.1,145.6",1235641,2019-12-01 02:08:31 UTC,,,
0EADW2SAJP6N8KP58ZY9067R3X,"36.0,32.5,33.0,33.3,32.6,33.5,61.0,,40.8,,35.4, , 36.0,62.3,995.2,494.1,145.2",1235641,2019-12-01 02:08:46 UTC,,,
0EADW2XX1GF6ZTVJ95A9FF4985,"36.7,32.5,33.1,33.3,32.6,33.4,65.1,,40.9,,35.3, , 35.9,62.6,995.2,495.2,144.1",1235641,2019-12-01 02:09:01 UTC,,,
0EADW32FE0JSJZBVQKFNX3A82E,"37.4,32.5,33.3,33.3,32.6,33.4,69.1,,41.1,,35.5, , 35.9,62.8,995.2,495.8,144.1",1235641,2019-12-01 02:09:16 UTC,,,
0EADW371Y31X2N77JQQ2JPS8QE,"38.0,32.5,33.5,33.3,32.6,33.4,72.5,,41.5,,35.5, , 35.9,63.1,995.2,495.8,144.7",1235641,2019-12-01 02:09:31 UTC,,,
0EADW3BMG2PE6TN8FZXAQM8PSH,"38.7,32.5,33.7,33.3,32.6,33.4,75.7,,41.7,,35.7, , 35.9,63.4,995.2,496.3,144.6",1235641,2019-12-01 02:09:46 UTC,,,
0EADW3G77S12QWCE93CZ3WCFS9,"39.3,32.5,33.9,33.3,32.6,33.4,78.3,,42.2,,35.8, , 35.9,63.6,995.1,496.3,144.7",1235641,2019-12-01 02:10:01 UTC,,,
0EADW3MSADW26XZ3TS75N7881E,"39.8,32.6,34.1,33.4,32.8,33.5,80.6,,42.8,,35.7, , 35.9,63.7,995.2,498.8,144.0",1235641,2019-12-01 02:10:16 UTC,,,
0EADW3SC1HQH733YM3JMHVEZ5H,"40.4,32.6,34.3,33.4,32.6,33.4,83.0,,43.4,,35.7, , 35.9,63.9,995.2,498.8,144.5",1235641,2019-12-01 02:10:31 UTC,,,
0EADW3XYX7YHX44S5THDDCQ6JD,"40.7,32.6,34.6,33.4,32.6,33.4,84.9,,43.7,,35.7, , 35.8,64.1,995.1,498.8,143.9",1235641,2019-12-01 02:10:46 UTC,,,
0EADW42H0QGZ7M8VR54Z6A9HFA,"41.3,32.6,34.7,33.4,32.6,33.4,86.8,,44.2,,35.8, , 35.8,64.3,995.1,498.8,143.9",1235641,2019-12-01 02:11:01 UTC,,,
0EADW473E1YH6A5ZF9966TYV8R,"41.6,32.6,34.9,33.5,32.8,33.5,88.4,,44.2,,35.8, , 35.8,64.5,995.1,496.3,143.0",1235641,2019-12-01 02:11:16 UTC,,,
0EADW4BP2F2HW9FBNB47GJ2Y88,"41.9,32.6,35.0,33.5,32.8,33.5,89.5,,44.4,,35.8, , 35.8,64.6,995.1,498.8,142.7",1235641,2019-12-01 02:11:31 UTC,,,
0EADW4G8C6HWZHGHHD3Y2GHT1N,"42.0,32.6,35.2,33.5,32.8,33.5,90.8,,44.9,,35.9, , 35.8,64.8,995.1,498.8,143.2",1235641,2019-12-01 02:11:46 UTC,,,
0EADW4MV04XZD4M2JR4H02V3QV,"42.3,32.7,35.5,33.7,32.8,33.5,91.8,,45.2,,36.1, , 35.8,64.9,995.1,499.4,142.5",1235641,2019-12-01 02:12:01 UTC,,,
0EADW4SD6DH61ZSGEAMM4WQ3BC,"42.7,32.7,35.6,33.7,32.8,33.5,92.8,,45.5,,35.9, , 35.8,65.1,995.0,499.9,142.3",1235641,2019-12-01 02:12:16 UTC,,,
0EADW4Y08R18SPBS8TJYPVHVCZ,"43.0,32.7,35.8,33.8,32.8,33.5,93.7,,46.2,,35.8, , 35.8,65.3,995.0,499.9,142.0",1235641,2019-12-01 02:12:31 UTC,,,
0EADW52JC1ZNQ4CY2W7N29CXWV,"43.0,32.8,35.9,33.8,32.8,33.5,94.5,,46.4,,35.9, , 35.9,65.4,995.1,499.9,141.8",1235641,2019-12-01 02:12:46 UTC,,,
0EADW5752MB5B5XDB7E3K38X6T,"43.4,32.8,36.0,33.9,32.8,33.6,95.2,,46.5,,35.9, , 35.9,65.5,995.0,500.5,141.2",1235641,2019-12-01 02:13:01 UTC,,,
0EADW5BQ5MG6B0Q7RMH054ECC5,"43.8,32.9,36.2,33.9,32.9,33.6,95.8,,47.3,,35.7, , 35.9,65.7,995.0,500.7,141.5",1235641,2019-12-01 02:13:16 UTC,,,
0EADW5G9Q8K2N39D0MADF1MY8Q,"44.0,32.9,36.4,34.0,32.9,33.6,96.4,,47.6,,35.6, , 35.9,65.8,995.0,501.3,141.4",1235641,2019-12-01 02:13:31 UTC,,,
0EADW5MW8T6ZVS433SYNB5361E,"44.1,33.0,36.5,34.0,32.9,33.7,96.8,,48.1,,35.5, , 35.9,65.9,995.0,500.5,141.9",1235641,2019-12-01 02:13:46 UTC,,,
